Date,Squad,Venue,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Name
2022-10-13,eng Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,17,18,94.4,0,11,0,0,0,David de Gea
2022-10-16,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,26,35,74.3,0,21,0,0,0,David de Gea
2022-10-19,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,20,35,57.1,0,25,0,0,0,David de Gea
2022-10-22,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,19,27,70.4,0,19,0,0,0,David de Gea
2022-10-27,eng Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,16,16,100.0,0,12,0,0,0,David de Gea
2022-10-30,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,24,32,75.0,0,24,0,0,0,David de Gea
2022-11-03,eng Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,35,46,76.1,0,28,0,0,0,David de Gea
2022-11-06,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,25,28,89.3,0,17,0,0,0,David de Gea
2022-11-10,Manchester Utd,Home,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",David de Gea
2022-11-13,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,26,32,81.3,0,24,0,0,0,David de Gea
2022-12-21,Manchester Utd,Home,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",David de Gea
2022-12-27,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,19,21,90.5,0,13,0,0,0,David de Gea
2022-12-31,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,14,21,66.7,0,15,0,0,0,David de Gea
2023-01-03,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,18,20,90.0,0,13,0,0,0,David de Gea
2023-01-10,Manchester Utd,Home,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",David de Gea
2023-01-14,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,22,39,56.4,0,28,0,0,0,David de Gea
2023-01-18,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,24,28,85.7,0,23,0,0,0,David de Gea
2023-01-22,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,25,37,67.6,0,25,0,0,0,David de Gea
Date,Squad,Venue,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,David de Gea
2023-02-01,Manchester Utd,Home,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",David de Gea
2023-02-04,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,27,34,79.4,0,19,0,0,0,David de Gea
2023-02-08,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,36,37,97.3,0,30,0,0,0,David de Gea
2023-02-12,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,30,37,81.1,0,25,0,0,0,David de Gea
2023-02-16,eng Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,17,34,50.0,0,19,0,0,0,David de Gea
2023-02-19,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,30,40,75.0,0,36,0,0,0,David de Gea
2023-02-23,eng Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,18,30,60.0,0,16,0,0,0,David de Gea
2023-03-05,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,1,0,15,26,57.7,0,21,0,0,0,David de Gea
2023-03-09,eng Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,19,27,70.4,0,19,0,0,0,David de Gea
2023-03-12,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,22,33,66.7,0,18,0,0,0,David de Gea
2023-03-16,eng Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,29,36,80.6,0,21,0,0,0,David de Gea
2023-04-02,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,31,37,83.8,0,27,0,0,0,David de Gea
2023-04-05,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,24,41,58.5,0,25,0,0,0,David de Gea
2023-04-08,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,25,31,80.6,0,28,0,0,0,David de Gea
2023-04-13,eng Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,27,38,71.1,0,28,0,0,0,David de Gea
2023-04-16,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,1,0,32,39,82.1,0,27,0,0,0,David de Gea
2023-04-20,eng Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,28,0,1,0,0.0,0.0,0.0,0,0,20,24,83.3,0,18,0,0,0,David de Gea
2023-04-27,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,24,41,58.5,0,32,0,0,0,David de Gea
2023-04-30,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,18,25,72.0,0,7,0,0,0,David de Gea
2023-05-04,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,21,41,51.2,0,25,0,0,0,David de Gea
2023-05-07,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,32,40,80.0,0,23,0,0,0,David de Gea
2023-05-13,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,14,28,50.0,0,16,0,0,0,David de Gea
2023-05-20,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,28,0,1,0,0.0,0.0,0.0,0,0,16,25,64.0,0,16,0,0,0,David de Gea
2023-05-25,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,25,30,83.3,0,16,0,0,0,David de Gea
2023-05-28,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,23,30,76.7,0,13,0,0,0,David de Gea
2022-08-07,Manchester Utd,Home,Y,LM,89,0,0,0,0,1,0,0,0,78,0,0,2,0.2,0.2,0.3,4,0,55,72,76.4,16,46,6,3,2,Bruno Fernandes
2022-08-13,Manchester Utd,Away,Y,AM,90,0,0,0,0,3,0,1,0,67,2,3,1,0.1,0.1,0.0,1,0,47,57,82.5,7,35,1,0,0,Bruno Fernandes
2022-08-22,Manchester Utd,Home,Y*,"AM,RW",90,0,0,0,0,1,1,1,0,58,3,3,2,0.4,0.4,0.3,4,0,26,40,65.0,6,28,2,1,0,Bruno Fernandes
2022-08-27,Manchester Utd,Away,Y*,"AM,RW",90,1,0,0,0,5,2,0,0,51,1,0,0,0.6,0.6,0.0,3,0,26,40,65.0,7,27,2,1,1,Bruno Fernandes
2022-09-01,Manchester Utd,Away,Y*,"AM,RW",90,0,0,0,0,0,0,0,0,72,3,0,1,0.0,0.0,0.3,4,0,44,62,71.0,12,43,5,4,1,Bruno Fernandes
2022-09-04,Manchester Utd,Home,Y*,"AM,RW",90,0,1,0,0,1,1,0,0,37,1,1,1,0.3,0.3,0.4,3,2,22,31,71.0,3,22,0,0,0,Bruno Fernandes
2022-09-08,eng Manchester Utd,Home,N,AM,45,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.3,3,0,18,24,75.0,2,15,0,0,0,Bruno Fernandes
2022-09-15,eng Manchester Utd,Away,Y*,AM,90,0,0,0,0,2,1,0,0,59,1,0,1,0.2,0.2,0.0,4,0,39,50,78.0,2,40,4,3,2,Bruno Fernandes
2022-10-02,Manchester Utd,Away,Y*,"AM,LW",90,0,0,0,0,2,1,1,0,52,1,0,2,0.0,0.0,0.0,2,0,33,44,75.0,2,29,3,2,1,Bruno Fernandes
2022-10-06,eng Manchester Utd,Away,Y*,AM,60,0,0,0,0,5,1,0,0,67,1,0,0,0.6,0.6,0.1,9,1,51,58,87.9,4,43,1,0,0,Bruno Fernandes
2022-10-09,Manchester Utd,Away,Y*,AM,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.1,4,1,38,49,77.6,6,33,4,1,1,Bruno Fernandes
2022-10-13,eng Manchester Utd,Home,Y*,AM,90,0,0,0,0,5,1,0,0,100,1,2,2,0.6,0.6,0.9,12,0,64,83,77.1,12,58,2,4,1,Bruno Fernandes
2022-10-16,Manchester Utd,Home,Y*,AM,90,0,0,0,0,2,0,1,0,61,5,2,0,0.1,0.1,0.1,6,0,38,52,73.1,6,34,2,3,1,Bruno Fernandes
2022-10-19,Manchester Utd,Home,Y*,"AM,RW,RM",90,1,0,0,0,6,3,0,0,87,2,1,1,0.2,0.2,0.5,13,1,66,75,88.0,6,45,1,0,0,Bruno Fernandes
2022-10-22,Manchester Utd,Away,Y*,"CM,LW,FW",90,0,0,0,0,2,1,0,0,61,2,0,1,0.1,0.1,0.4,5,0,33,49,67.3,5,46,0,5,1,Bruno Fernandes
2022-10-27,eng Manchester Utd,Home,Y*,"RW,AM",90,0,0,0,0,2,0,0,0,49,1,0,1,0.1,0.1,0.9,6,0,37,43,86.0,3,34,2,1,0,Bruno Fernandes
2022-10-30,Manchester Utd,Home,Y,AM,90,0,0,0,0,1,0,1,0,61,5,0,1,0.0,0.0,0.0,4,1,43,52,82.7,8,28,1,2,1,Bruno Fernandes
2022-11-03,eng Manchester Utd,Away,Y*,"RW,RM",90,0,0,0,0,0,0,0,0,60,1,3,2,0.0,0.0,0.1,3,1,39,50,78.0,6,31,3,3,2,Bruno Fernandes
2022-11-13,Manchester Utd,Away,Y*,"AM,RW",90,0,0,0,0,2,0,0,0,45,1,1,0,0.1,0.1,0.8,5,1,24,36,66.7,4,25,0,1,0,Bruno Fernandes
2022-11-24,pt Portugal,Neutral,Y,"RW,LM",90,0,2,0,0,0,0,1,0,61,0,0,2,0.0,0.0,0.6,5,2,49,56,87.5,11,40,3,2,0,Bruno Fernandes
2022-11-28,pt Portugal,Neutral,Y,"AM,RW,RM",90,2,0,1,1,5,2,0,0,78,2,1,2,1.0,0.2,0.0,0,0,49,63,77.8,9,43,3,0,0,Bruno Fernandes
Date,Squad,Venue,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Bruno Fernandes
2022-12-02,pt Portugal,Neutral,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Bruno Fernandes
2022-12-06,pt Portugal,Neutral,Y,RW,86,0,1,0,0,0,0,0,0,48,2,0,2,0.0,0.0,0.8,4,2,32,39,82.1,2,37,2,1,0,Bruno Fernandes
2022-12-10,pt Portugal,Neutral,Y,"RW,RB",90,0,0,0,0,2,0,0,0,85,0,1,1,0.1,0.1,0.3,6,0,58,75,77.3,9,44,2,3,3,Bruno Fernandes
2022-12-27,Manchester Utd,Home,Y*,"AM,RW",90,0,0,0,0,2,0,0,0,73,4,1,0,0.1,0.1,0.8,6,1,44,57,77.2,4,42,2,3,0,Bruno Fernandes
2022-12-31,Manchester Utd,Away,Y*,AM,89,0,1,0,0,3,1,0,0,67,3,1,2,0.3,0.3,0.3,7,1,44,54,81.5,13,42,0,1,0,Bruno Fernandes
2023-01-03,Manchester Utd,Home,Y,"AM,RW",90,0,1,0,0,3,1,0,0,68,2,0,0,0.2,0.2,0.7,8,2,41,59,69.5,8,46,6,2,1,Bruno Fernandes
2023-01-14,Manchester Utd,Home,Y*,"RW,AM,FW",90,1,0,0,0,2,1,0,0,39,0,0,1,0.4,0.4,0.2,3,1,21,32,65.6,3,14,0,0,0,Bruno Fernandes
2023-01-18,Manchester Utd,Away,Y*,AM,90,1,0,0,0,3,1,0,0,89,5,0,1,0.3,0.3,1.4,6,0,56,76,73.7,11,61,3,0,0,Bruno Fernandes
2023-01-22,Manchester Utd,Away,Y*,"AM,RW",90,0,1,0,0,0,0,0,0,51,3,1,3,0.0,0.0,0.0,1,1,30,40,75.0,3,19,1,0,0,Bruno Fernandes
2023-02-04,Manchester Utd,Home,Y*,"AM,RM,DM",90,1,0,1,1,0,0,0,0,59,4,1,2,0.8,0.0,0.2,4,0,35,46,76.1,6,25,1,0,0,Bruno Fernandes
2023-02-08,Manchester Utd,Home,Y*,AM,90,0,0,0,0,4,0,0,0,70,4,0,0,0.4,0.4,0.2,10,0,36,57,63.2,5,30,1,2,2,Bruno Fernandes
2023-02-12,Manchester Utd,Away,Y,"AM,RW",90,0,0,0,0,4,3,0,0,46,2,0,1,0.5,0.5,0.2,4,0,25,35,71.4,5,25,5,2,1,Bruno Fernandes
2023-02-16,eng Manchester Utd,Away,Y,RM,90,0,0,0,0,2,0,0,0,43,2,1,2,0.5,0.5,0.4,4,0,25,32,78.1,6,26,3,0,0,Bruno Fernandes
2023-02-19,Manchester Utd,Home,Y*,RW,90,0,2,0,0,3,1,0,0,76,1,0,0,0.1,0.1,2.2,13,2,42,67,62.7,9,55,6,6,4,Bruno Fernandes
2023-02-23,eng Manchester Utd,Home,Y*,"AM,RW",90,0,1,0,0,2,2,1,0,42,1,1,1,0.4,0.4,0.3,4,1,24,34,70.6,2,26,1,0,0,Bruno Fernandes
2023-03-05,Manchester Utd,Away,Y*,LW,90,0,0,0,0,2,0,0,0,40,1,0,1,0.1,0.1,0.2,1,0,20,33,60.6,2,21,1,1,1,Bruno Fernandes
2023-03-09,eng Manchester Utd,Home,Y*,AM,90,1,1,0,0,2,1,1,0,94,3,0,3,0.2,0.2,0.5,11,1,58,78,74.4,14,57,5,3,3,Bruno Fernandes
2023-03-12,Manchester Utd,Home,Y*,"CM,LM",90,0,0,0,0,2,1,0,0,71,1,0,1,0.1,0.1,0.4,5,0,38,63,60.3,7,42,2,2,1,Bruno Fernandes
2023-03-16,eng Manchester Utd,Away,Y,DM,67,0,0,0,0,2,0,0,0,65,2,0,0,0.1,0.1,1.3,5,0,36,51,70.6,7,39,1,5,1,Bruno Fernandes
Date,Squad,Venue,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Bruno Fernandes
2023-04-02,Manchester Utd,Away,Y*,"AM,CM",90,0,0,0,0,0,0,0,0,58,0,2,1,0.0,0.0,0.1,2,0,34,46,73.9,7,42,1,2,1,Bruno Fernandes
2023-04-05,Manchester Utd,Home,Y*,"DM,LM",90,0,0,0,0,1,0,1,0,111,1,2,2,0.0,0.0,0.2,9,0,85,103,82.5,10,58,1,1,1,Bruno Fernandes
2023-04-08,Manchester Utd,Home,Y,DM,90,0,0,0,0,4,2,0,0,119,0,0,1,0.3,0.3,0.7,10,0,90,109,82.6,10,87,2,1,0,Bruno Fernandes
2023-04-13,eng Manchester Utd,Home,Y*,DM,61,0,1,0,0,1,1,1,0,54,2,0,3,0.1,0.1,0.1,1,1,30,48,62.5,6,30,3,5,3,Bruno Fernandes
2023-04-16,Manchester Utd,Away,Y,AM,90,0,0,0,0,5,3,0,0,91,1,0,0,0.3,0.3,1.2,10,0,57,81,70.4,11,59,6,1,1,Bruno Fernandes
2023-04-27,Manchester Utd,Away,Y*,"AM,RW",90,0,1,0,0,4,1,0,0,69,0,1,1,0.7,0.7,0.7,8,1,45,57,78.9,6,43,5,4,2,Bruno Fernandes
2023-04-30,Manchester Utd,Home,Y*,RM,90,1,0,0,0,2,2,0,0,49,2,2,4,0.2,0.2,0.4,3,0,25,35,71.4,7,18,0,2,0,Bruno Fernandes
2023-05-04,Manchester Utd,Away,Y*,LM,90,0,0,0,0,2,1,0,0,63,2,0,0,0.1,0.1,0.8,9,0,40,55,72.7,7,36,0,1,1,Bruno Fernandes
2023-05-07,Manchester Utd,Away,Y*,"LW,AM",90,0,0,0,0,3,0,0,0,64,2,0,0,0.1,0.1,0.5,8,0,41,55,74.5,9,38,4,1,1,Bruno Fernandes
2023-05-13,Manchester Utd,Home,Y*,AM,90,0,1,0,0,7,2,0,0,62,0,1,1,0.4,0.4,1.0,14,2,37,47,78.7,11,44,4,5,3,Bruno Fernandes
2023-05-20,Manchester Utd,Away,Y*,"AM,RW",90,0,0,0,0,4,1,0,0,74,2,1,0,0.2,0.2,0.2,10,0,50,64,78.1,9,35,5,3,2,Bruno Fernandes
2023-05-25,Manchester Utd,Home,Y*,AM,85,1,0,1,1,1,0,0,0,61,1,0,3,1.0,0.2,0.6,4,1,39,51,76.5,7,39,2,2,1,Bruno Fernandes
2023-05-28,Manchester Utd,Home,Y,"AM,CM,RW",83,1,0,0,0,3,2,0,0,55,1,1,0,0.7,0.7,0.4,6,0,28,48,58.3,5,23,4,1,0,Bruno Fernandes
2022-08-07,Manchester Utd,Home,Y,LW,90,0,0,0,0,3,0,0,0,32,1,1,1,0.3,0.3,0.0,1,0,17,21,81.0,1,22,1,2,0,Marcus Rashford
2022-08-13,Manchester Utd,Away,Y,LW,90,0,0,0,0,2,0,1,0,35,3,0,0,0.1,0.1,0.2,3,0,19,27,70.4,3,20,2,6,5,Marcus Rashford
2022-08-22,Manchester Utd,Home,Y,"FW,LW",85,1,0,0,0,5,2,0,0,28,0,0,0,0.8,0.8,0.0,3,0,5,15,33.3,2,20,4,5,3,Marcus Rashford
2022-08-27,Manchester Utd,Away,Y,"FW,LW",90,0,0,0,0,1,0,0,0,26,2,0,0,0.1,0.1,0.0,2,0,13,19,68.4,1,17,1,1,0,Marcus Rashford
2022-09-01,Manchester Utd,Away,Y,"FW,LW",86,0,1,0,0,2,0,0,0,53,0,0,2,0.2,0.2,1.1,2,1,28,39,71.8,6,28,1,1,0,Marcus Rashford
2022-09-04,Manchester Utd,Home,Y,"FW,LW,RW",79,2,1,0,0,2,2,0,0,23,0,0,0,0.5,0.5,0.3,2,1,13,15,86.7,3,14,2,1,0,Marcus Rashford
2022-10-02,Manchester Utd,Away,Y,FW,58,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,5,8,62.5,2,5,2,1,1,Marcus Rashford
2022-10-06,eng Manchester Utd,Away,N,LW,45,2,1,0,0,4,3,0,0,44,1,0,2,1.1,1.1,0.2,5,1,33,35,94.3,3,28,4,3,1,Marcus Rashford
2022-10-09,Manchester Utd,Away,Y,LW,90,0,0,0,0,1,0,0,0,53,0,0,2,0.1,0.1,0.3,1,0,34,43,79.1,4,36,1,4,2,Marcus Rashford
2022-10-13,eng Manchester Utd,Home,Y,LW,90,0,0,0,0,10,5,0,0,65,0,0,0,1.7,1.7,0.2,8,0,38,45,84.4,6,53,6,10,3,Marcus Rashford
2022-10-16,Manchester Utd,Home,N,FW,19,0,0,0,0,2,0,0,0,12,0,0,0,0.3,0.3,0.1,2,0,5,7,71.4,1,6,1,3,2,Marcus Rashford
2022-10-19,Manchester Utd,Home,Y,FW,90,0,0,0,0,4,3,0,0,36,1,0,1,0.5,0.5,0.0,4,0,16,22,72.7,1,19,3,1,1,Marcus Rashford
2022-10-22,Manchester Utd,Away,Y,FW,79,0,0,0,0,3,2,0,0,30,0,0,0,0.3,0.3,0.0,0,0,13,22,59.1,2,16,2,1,1,Marcus Rashford
2022-10-27,eng Manchester Utd,Home,N,"AM,LW",45,1,0,0,0,3,2,0,0,29,1,0,0,0.2,0.2,0.0,0,0,14,23,60.9,0,26,2,3,2,Marcus Rashford
2022-10-30,Manchester Utd,Home,Y,LW,90,1,0,0,0,5,2,0,0,40,0,1,0,0.6,0.6,0.0,5,0,23,27,85.2,2,20,6,3,0,Marcus Rashford
2022-11-03,eng Manchester Utd,Away,N,"AM,LW",33,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,9,14,64.3,0,10,0,2,0,Marcus Rashford
2022-11-06,Manchester Utd,Away,Y,"RW,LW",90,0,0,0,0,0,0,0,0,37,0,0,1,0.0,0.0,0.0,1,0,27,33,81.8,2,27,1,3,2,Marcus Rashford
2022-11-13,Manchester Utd,Away,Y,"LW,FW",90,0,0,0,0,2,2,0,0,41,0,0,5,0.4,0.4,0.0,2,0,17,24,70.8,2,24,2,7,1,Marcus Rashford
2022-11-21,eng England,Neutral,N,RW,21,1,0,0,0,2,1,0,0,26,0,0,0,0.4,0.4,0.0,1,0,15,20,75.0,2,22,3,3,1,Marcus Rashford
2022-11-25,eng England,Neutral,N,RW,13,0,0,0,0,1,1,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,3,0,1,1,Marcus Rashford
